"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"IC2";"AD835";"AD835";"SO08";"";"";"";"";"";"";"";"";
"IC3";"AD835";"AD835";"SO08";"";"";"";"";"";"";"";"";
"IC4";"TL072D";"TL072D";"SO08";"OP AMP";"";"";"";"";"";"";"";
"IC5";"NJM074V";"NJM074V";"TSSOP14";"";"";"";"";"";"";"";"";
"IC6";"NJM074V";"NJM074V";"TSSOP14";"";"";"";"";"";"";"";"";
"IC7";"NJM074V";"NJM074V";"TSSOP14";"";"";"";"";"";"";"";"";
"IC8";"NJM074V";"NJM074V";"TSSOP14";"";"";"";"";"";"";"";"";
"IC9";"NJM2884";"NJM2884";"SOT89-5";"";"";"";"";"";"";"";"";
"IC10";"NJM2884";"NJM2884";"SOT89-5";"";"";"";"";"";"";"";"";
"IC11";"AD9834";"AD9834";"TSSOP20";"The AD9834 is a 75 MHz low power DDS device capable of producing high performance sine and triangular outputs.";"";"";"";"";"";"";"";
"IC12";"AD9834";"AD9834";"TSSOP20";"The AD9834 is a 75 MHz low power DDS device capable of producing high performance sine and triangular outputs.";"";"";"";"";"";"";"";
"IC13";"SIT8002B";"SIT8002B";"SOT25";"";"";"";"";"";"";"";"";
"JP1";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";
"JP3";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";
"L1";"CB2016";"CB2016";"CB2016";"POWER INDUCTOR";"";"";"";"";"";"";"";
"R1";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R2";"6.8k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R3";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R4";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R5";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R6";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R7";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R8";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R9";"200";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R10";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R11";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R12";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R13";"560";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R14";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R15";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R16";"3.3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R17";"22k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R18";"6.8k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R19";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R20";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R21";"2.7k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R22";"22k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R23";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R24";"2.7k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R25";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R26";"3.3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R27";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R28";"2k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R29";"20k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R30";"5.1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R31";"5.1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R32";"20k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R33";"20k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R34";"5.1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R35";"20k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R36";"5.1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R37";"56";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R38";"56";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R39";"560";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R40";"560";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R41";"560";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R42";"62a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R43";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R44";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R45";"100k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R46";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R47";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R48";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R49";"47k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R50";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R51";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R52";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R53";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R54";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R55";"560a";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";
"SJ3";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";
"SV1";"";"MA05-1";"MA05-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";"";
"SV2";"";"MA06-1";"MA06-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";"";
"VR1";"PVZ3A";"PVZ3A";"PVZ3A";"";"";"";"";"";"";"";"";
